Field name,Type,Required ?,Nullabel ?,Default value,Index type,Enum,Validation rule,Normalization,Unique ?,Reference to,Referenced schema,Calculated ?,Example value,Sensitive ?,Hashed ?,Indexed ?,Query usage,Immutable,Create,Read,Update,Delete
Organization-id,Object ID,TRUE,Not NULL,,Single field,,Strict,1NF,TRUE,,,TRUE,,FALSE,FALSE,TRUE,Search,TRUE,MASTER (system),MASTER,N/A (unchangeable),MASTER
Organization-public-id,String,TRUE,Not NULL,,Single field,,Strict,1NF,TRUE,,,,ORG + 000001,FALSE,FALSE,TRUE,Search,TRUE,MASTER (system),MASTER,N/A (unchangeable),MASTER
Organization-name,String,TRUE,Not NULL,,Text,,Strict,1NF,TRUE,,,,,FALSE,FALSE,TRUE,Search,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Legal-name,String,TRUE,Not NULL,,Text,,Strict,1NF,TRUE,,,,,FALSE,FALSE,FALSE,Search,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Acronym,String,TRUE,Not NULL,,Text,,Moderate,1NF,FALSE,,,,ABC,FALSE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Slug,String,TRUE,Not NULL,,Text,,Strict,1NF,TRUE,,,TRUE,,FALSE,FALSE,TRUE,Filter,FALSE,MASTER (calculated),"HIGH, MASTER",N/A (calculated),MASTER
Organization-logo,URL,TRUE,Not NULL,,Single field,,Strict,1NF,FALSE,,,,http://my-company-logo,FALSE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Organization-website,URL,TRUE,Not NULL,,Single field,,Moderate,1NF,FALSE,,,,http://my-company-site,FALSE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Representative-name,String,TRUE,Not NULL,,Single field,,Moderate,3NF,FALSE,,,,,TRUE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Representative-account-id,Object ID,FALSE,Optional,,Single field,,Strict,3NF,FALSE,Lookup,user-account,,,FALSE,FALSE,FALSE,Search,FALSE,MASTER,MASTER,MASTER,MASTER
Organization-email,String,FALSE,Optional,,Single field,,Moderate,1NF,TRUE,,,,mycompany@email.com,TRUE,FALSE,TRUE,Filter,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Organization-address,Object ID,FALSE,Optional,,Single field,,Strict,3NF,FALSE,Lookup,address,,,FALSE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Organization-phone,String,FALSE,Optional,,Text,,Moderate,1NF,FALSE,,,,(xxx) xxx-xxxx,TRUE,FALSE,FALSE,None,FALSE,MASTER,"HIGH, MASTER","HIGH, MASTER",MASTER
Organization-status,Int32,TRUE,Not NULL,1,Single field,status.enum.ts,Strict,1NF,FALSE,,,,,FALSE,FALSE,TRUE,Filter,FALSE,MASTER,"HIGH, MASTER",MASTER,MASTER
CreatedAt,Date,TRUE,Not NULL,auto (mongoose timestamps),Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),"HIGH, MASTER",N/A (system),MASTER
UpdatedAt,Date,FALSE,Optional,auto (mongoose timestamps),Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),"HIGH, MASTER",N/A (system),MASTER
DeletedAt,Date,FALSE,Optional,,Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),MASTER,N/A (system),MASTER
CreatedBy,Object ID,TRUE,Not NULL,,Single field,,Strict,1NF,FALSE,Lookup,user-account.me,,,FALSE,FALSE,TRUE,Filter,TRUE,N/A (system),MASTER,N/A (unchangeable),MASTER
UpdatedBy,Object ID,FALSE,Optional,,Single field,,Strict,1NF,FALSE,Lookup,user-account.me,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),MASTER,N/A (system),MASTER
Privilege,Int32,TRUE,Not NULL,4,Single field,privilege.enum.ts,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,None,FALSE,MASTER,MASTER,MASTER,MASTER
Access-modifier,Int32,TRUE,Not NULL,3,Single field,access-modifier.enum.ts,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,None,FALSE,MASTER,MASTER,MASTER,MASTER
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Collection name,organization,,,,,,,,,,,,,,,,,,,,,
Business name,My-organization,,,,,,,,,,,,,,,,,,,,,
Description,"This entity is designed to store basic information about the company/association that will use the system, thus providing initial data for the frontend to process.",,,,,,,,,,,,,,,,,,,,,
Owner/Module,organization,,,,,,,,,,,,,,,,,,,,,
Primary use case,CRUD,,,,,,,,,,,,,,,,,,,,,
Relationship summary,The organization entity is the primary entity within the system; all other entities connect to it directly or indirectly.,,,,,,,,,,,,,,,,,,,,,
Cardinality summary,1:N,,,,,,,,,,,,,,,,,,,,,
Indexes,"_id (Primary), organization-public-id_1 (Unique), slug_1 (Unique), organization-email_1 (Unique, sparse), organization-name_text (Text search)",,,,,,,,,,,,,,,,,,,,,
Audit enable,Enabled,,,,,,,,,,,,,,,,,,,,,
API level,Internal,,,,,,,,,,,,,,,,,,,,,
PII level,Medium,,,,,,,,,,,,,,,,,,,,,
Relation policy,Restrict,,,,,,,,,,,,,,,,,,,,,
Migration notes,,,,,,,,,,,,,,,,,,,,,,
